Destination;Group;Rate
SAT INMARSAT A;;6.25
SAT INMARSAT B;;1.463
SAT INMARSAT BGAN HSD;;6.1634
SAT INMARSAT BGAN ISDN;;4.6249
SAT INMARSAT BGAN LSV;;2.6415
SAT INMARSAT GAN FLEET HSD;;5.4737
SAT INMARSAT M;;1.2721
SAT INMARSAT MINI M;;0.9963
SAT OTHERS;;10
SAUDI ARAB GSM MOBIL;;0.1476
SAUDI ARAB GSM ZAIN;;0.0938
SAUDI ARABIA;;0.07
SAUDI ARABIA GSM;;0.125
SAUDI ARABIA GSM STC;;0.1094
SAUDI ARABIA GSM VIRGIN;;0.0982
SEANET MARITIME;;5.6364
SENEGAL;;0.1975
SENEGAL EXPRESSO;;0.3439
SENEGAL GSM EXPRESSO;;0.3313
SENEGAL GSM ORANGE;;0.3165
SENEGAL GSM TIGO;;0.3561
SERBIA;;0.133
SERBIA GSM;;0.3501
SERBIA GSM MTS;;0.2812
SERBIA GSM TELENOR;;0.3008
SEYCHELLES;;0.5756
SEYCHELLES GSM;;0.5756
SIERRA LEONE;;0.5333
SIERRA LEONE GSM;;0.3637
SINGAPORE;;0.0088
SINGAPORE GSM;;0.0055
SLOVAKIA;;0.0033
SLOVAKIA GSM;;0.0285
SLOVAKIA GSM EUROTEL;;0.0264
SLOVAKIA GSM ORANGE;;0.0264
SLOVENIA;;0.1543
SLOVENIA;PLZ1;0.0088
SLOVENIA GSM;;0.3787
SLOVENIA GSM;PLZ1;0.025
SLOVENIA GSM IPKO;;0.3787
SLOVENIA GSM IPKO;PLZ1;0.025
SLOVENIA GSM MOBITEL;;0.3787
SLOVENIA GSM MOBITEL;PLZ1;0.025
SLOVENIA GSM SIMOBIL;;0.3787
SLOVENIA GSM SIMOBIL;PLZ1;0.025
SLOVENIA PRS;;2.5
SOLOMON ISLANDS;;1.25
SOMALIA;;0.475
SOMALIA GSM;;0.3126
SOUTH AFRICA;;0.0816
SOUTH AFRICA GSM;;0.0816
SOUTH AFRICA GSM MTN;;0.1119
SOUTH AFRICA GSM TELKOM;;0.1625
SOUTH AFRICA GSM VO;;0.1337
SOUTH AFRICA PRS;;0.1308
SOUTH KOREA;;0.0039
SOUTH KOREA GSM;;0.0103
SOUTH OSSETIA;;0.2015
SOUTH SUDAN;;0.3068
SPAIN;;0.0022
SPAIN GSM;;0.1
SPAIN GSM;ESM1;0.0088
SPAIN GSM;ESM2;0.0338
SPAIN GSM LYCAMOBILE;;0.1
SPAIN GSM LYCAMOBILE;ESM1;0.0088
SPAIN GSM LYCAMOBILE;ESM2;0.0338
SPAIN GSM M2M;;0.0975
SPAIN GSM ORANGE;;0.1
SPAIN GSM ORANGE;ESM1;0.0088
SPAIN GSM ORANGE;ESM2;0.0338
SPAIN GSM TELEFONICA;;0.1
SPAIN GSM TELEFONICA;ESM1;0.0088
SPAIN GSM TELEFONICA;ESM2;0.0338
SPAIN GSM VODAFONE;;0.1625
SPAIN GSM VODAFONE;ESV1;0.0088
SPAIN GSM VODAFONE;ESV2;0.0338
SPAIN GSM VODAFONE;ESV3;0.1
SPAIN GSM YOIGO;;0.1
SPAIN GSM YOIGO;ESM1;0.0088
SPAIN GSM YOIGO;ESM2;0.0338
SPAIN PRS;;0.5
SRI LANKA;;0.1324
SRI LANKA GSM;;0.1513
SRI LANKA GSM AIRTEL;;0.1513
SRI LANKA GSM ETISALAT;;0.1513
SRI LANKA GSM MOBITEL;;0.1513
SRI LANKA GSM MTN;;0.1513
ST HELENA;;2.5
ST KITTS NEVIS;;0.1641
ST LUCIA;;0.205
ST PIERRE;;0.1293
ST PIERRE GSM;;0.2042
ST VINCENT;;0.1667
SUDAN;;0.1201
SUDAN GSM;;0.1375
SUDAN GSM MOBITEL;;0.1175
SUDAN GSM MTN;;0.1392
SUDAN GSM SUDATEL;;0.1199
SURINAME;;0.25
SURINAME GSM;;0.375
SWAZILAND;;0.0851
SWAZILAND GSM;;0.2
SWEDEN;;0.0018
SWEDEN GSM;;0.0088
SWEDEN GSM COMVIQ;;0.0088
SWEDEN GSM HI3G;;0.0088
SWEDEN GSM TELENOR;;0.0088
SWEDEN GSM TELIA;;0.0088
SWEDEN PRS;;0.0018
SWITZERLAND;;0.0075
SWITZERLAND GSM;;0.2563
SWITZERLAND GSM;AT1;0.75
SWITZERLAND GSM;BALT;0.75
SWITZERLAND GSM;CZ1;0.75
SWITZERLAND GSM;EAST;0.75
SWITZERLAND GSM;ES1;0.75
SWITZERLAND GSM;FR1;0.75
SWITZERLAND GSM;GR1;0.75
SWITZERLAND GSM;HU1;0.75
SWITZERLAND GSM;IT1;0.75
SWITZERLAND GSM;MAG;0.75
SWITZERLAND GSM;NOCL;0.75
SWITZERLAND GSM;PL1;0.75
SWITZERLAND GSM;PT1;0.75
SWITZERLAND GSM CABLECOM;;0.3771
SWITZERLAND GSM LYCATEL;;0.0551
SWITZERLAND GSM ORA;;0.0429
SWITZERLAND GSM ORA;AT1;0.0416
SWITZERLAND GSM ORA;BALT;0.3181
SWITZERLAND GSM ORA;CZ1;0.3181
SWITZERLAND GSM ORA;EAST;0.3181
SWITZERLAND GSM ORA;ES1;0.0416
SWITZERLAND GSM ORA;FR1;0.0881
SWITZERLAND GSM ORA;GR1;0.2476
SWITZERLAND GSM ORA;HU1;0.1099
SWITZERLAND GSM ORA;IT1;0.0988
SWITZERLAND GSM ORA;MAG;0.3181
SWITZERLAND GSM ORA;NOCL;0.371
SWITZERLAND GSM ORA;PL1;0.184
SWITZERLAND GSM ORA;PT1;0.1416
SWITZERLAND GSM ORA;TRZ1;0.1039
SWITZERLAND GSM SUN;;0.0416
SWITZERLAND GSM SUN;BALT;0.343
SWITZERLAND GSM SUN;CZ1;0.371
SWITZERLAND GSM SUN;EAST;0.3499
SWITZERLAND GSM SUN;ES1;0.0416
SWITZERLAND GSM SUN;FR1;0.0419
SWITZERLAND GSM SUN;GR1;0.3748
SWITZERLAND GSM SUN;HU1;0.1411
SWITZERLAND GSM SUN;IT1;0.12
SWITZERLAND GSM SUN;MAG;0.3181
SWITZERLAND GSM SUN;NOCL;0.3748
SWITZERLAND GSM SUN;PL1;0.1486
SWITZERLAND GSM SUN;PT1;0.0458
SWITZERLAND GSM SUN;TRZ1;0.1039
SWITZERLAND GSM SWIS;;0.0313
SWITZERLAND GSM SWIS;AT1;0.0416
SWITZERLAND GSM SWIS;BALT;0.316
SWITZERLAND GSM SWIS;CZ1;0.0739
SWITZERLAND GSM SWIS;EAST;0.316
SWITZERLAND GSM SWIS;FR1;0.0743
SWITZERLAND GSM SWIS;GR1;0.0743
SWITZERLAND GSM SWIS;HU1;0.0739
SWITZERLAND GSM SWIS;IT1;0.0739
SWITZERLAND GSM SWIS;MAG;0.316
SWITZERLAND GSM SWIS;NOCL;0.316
SWITZERLAND GSM SWIS;PL1;0.1163
SWITZERLAND GSM SWIS;PT1;0.0315
SWITZERLAND GSM SWIS;TRZ1;0.1166
SWITZERLAND PRS;;0.015
SYRIA;;0.225
SYRIA GSM;;0.225
T-SYS INTERNATIONAL;;0.025
TAIWAN;;0.0109
TAIWAN GSM;;0.0759
TAJIKISTAN;;0.1293
TAJIKISTAN GSM;;0.1486
TANZANIA;;0.2686
TANZANIA GSM;;0.2763
TANZANIA GSM AIRTEL;;0.2583
TANZANIA GSM VODACOM;;0.2763
TELENOR CONNEXION;;2.5
THAILAND;;0.0076
THAILAND GSM;;0.0271
THAILAND GSM DTAC;;0.0271
THURAYA;;1.3113
TOGO;;0.2425
TOGO GSM;;0.2258
TOGO GSM MOOV;;0.31
TOKELAU;;1.25
TONGA;;1.25
TONGA GSM;;1.25
TRINIDAD & TOBAGO;;0.197
TRINIDAD GSM DIGICEL;;0.197
TRINIDAD-TOBAGO GSM;;0.197
TUNISIA;;0.6038
TUNISIA GSM LYCAMOBILE;;0.61
TUNISIA GSM OOREDOO;;0.6098
TUNISIA GSM ORANGE;;0.7062
TUNISIA GSM TUNTEL;;0.6038
TUNISIA ORANGE;;0.7125
TUNISIA PRS;;2.5
TURKEY;;0.0294
TURKEY CITIES;;0.0244
TURKEY GSM;;0.1313
TURKEY GSM TURKCELL;;0.1625
TURKEY GSM VODAFONE;;0.1244
TURKEY PRS;;2.5
TURKMENISTAN;;0.0971
TURKS & CAICOS;;0.1991
TURKS & CAICOS GSM;;0.2029
TUVALU;;1.25
UGANDA;;0.2717
UGANDA GSM AIRTEL;;0.2583
UGANDA GSM MTN;;0.2085
UGANDA GSM OTHERS;;0.2608
UK;;0.0013
UK FREEPHONE;;0.0029
UK GSM;;0.1899
UK GSM ALTERNATIVE NETWORK;;0.16
UK GSM HI3G;;0.0071
UK GSM O2;;0.0071
UK GSM ORANGE;;0.0071
UK GSM TMOBILE;;0.0071
UK GSM VODAFONE;;0.0071
UK LOCAL CALL;;0.0938
UK LOCAL CALL PLUS;;0.1124
UK NATIONAL CALL;;0.1686
UK NATIONAL CALL PLUS;;0.1686
UK O3;;0.0125
UK PRS;;0.2249
UKRAINE;;0.1063
UKRAINE CITIES;;0.1093
UKRAINE GSM;;0.1788
UKRAINE GSM ASTELIT;;0.185
UKRAINE GSM KIEVSTAR;;0.174
UKRAINE GSM UMC;;0.185
UNITED ARAB EMIR;;0.1388
UNITED ARAB EMIR GSM;;0.1388
UNITED ARAB EMIR GSM DU;;0.1388
URUGUAY;;0.0375
URUGUAY GSM;;0.1202
USA;;0.0024
USA ALASKA;;0.0375
USA FREE PHONE;;0.0063
USA HAWAII;;0.0375
USA OLO;;0.0063
UZBEKISTAN;;0.0868
UZBEKISTAN GSM;;0.0838
VANUATU;;1.25
VENEZUELA;;0.0133
VENEZUELA CARACAS;;0.0107
VENEZUELA GSM;;0.0739
VENEZUELA GSM DIGI;;0.065
VENEZUELA GSM MOVILNET;;0.0291
VENEZUELA GSM TELCEL;;0.0691
VENEZUELA OTHER CITIES;;0.0133
VIETNAM;;0.0531
VIETNAM CITIES;;0.0581
VIETNAM GSM;;0.0605
VIETNAM GSM VIETTEL;;0.0605
VIRGIN ISLANDS UK;;0.15
VIRGIN ISLANDS USA;;0.125
WALLIS & FUTUNA;;0.2375
YEMEN;;0.1188
YEMEN GSM;;0.1319
YEMEN GSM MTN;;0.1163
ZAMBIA;;0.313
ZAMBIA GSM;;0.3155
ZAMBIA GSM AIRTEL;;0.3726
ZAMBIA GSM MTN;;0.4045
ZIMBABWE;;0.1713
ZIMBABWE GSM ECONET;;0.4004
ZIMBABWE GSM NETONE;;0.2225
ZIMBABWE GSM TELECEL;;0.3006
